user_id,genres,año,playtime_forever
76561198032898039,Adventure,2017,270.0
Cardinal4766,Action,2005,30.0
76561198079115969,Casual,2012,1232.0
76561198041714563,Indie,2015,2590.0
BlockStabFatality,RPG,2015,663.0
gftdfc,RPG,2007,1399.0
4234213234124,RPG,2012,456.0
76561198046868726,Indie,1999,4.0
76561198087224877,Sports,2016,93.0
ooblinkoo,Strategy,2008,457.0
76561198076652961,Action,2014,656.0
76561198064667147,Racing,2009,343.0
76561198054922473,Casual,2014,2.0
GasRG,Casual,2015,37.0
Tobyturtwig,Casual,2017,205.0
76561198071314710,Indie,2006,54590.0
angelo_,Action,2010,5772.0
Iroikos,Action,2004,1161.0
ghillieboy,Action,2001,70.0
76561198049753345,Free to Play,2016,38.0
thatharlequin,RPG,2014,350.0
76561198091715707,Casual,1999,1.0
76561198096134392,Casual,2015,50.0
76561198105529304,Indie,2017,924.0
76561198042487448,Free to Play,2016,754.0
sammyjw2000,Free to Play,2013,200.0
thomasonefoot,Free to Play,2006,7.0
mdrachet10,Free to Play,2017,18.0
76561198056953510,Strategy,2012,3484.0
Agentday,Massively Multiplayer,2012,760.0
76561198065776157,Simulation,2009,828.0
DBR727,Action,2009,54.0
fyredefyre,Action,2012,1562.0
Loveaomamm,Strategy,2014,69.0
Shudow,Indie,2013,2125.0
76561198069746097,Action,2017,1.0
Shillo_,Indie,2015,28.0
taproness,Action,2004,1234.0
76561198041940991,Indie,2016,423.0
jrauw2325,Action,2009,707.0
76561197987617385,Action,2014,11318.0
76561198047499121,Action,2014,257.0
76561198086363792,Casual,2015,2636.0
76561198003171304,Action,2013,15158.0
obliviousrino,Action,2013,14308.0
jdg311,Action,2011,6987.0
76561198010775702,Action,2015,2814.0
76561198066782768,Action,2017,132.0
tommyaka,Massively Multiplayer,2011,3004.0
76561197972911511,RPG,2015,50816.0
76561198092564032,RPG,2012,4978.0
76561198061191711,Adventure,2016,68.0
Spitfire182GE,Strategy,2010,3454.0
76561198067217131,Indie,2015,57.0
76561198066474321,Action,2009,2576.0
Silentfantasia,Simulation,2010,123.0
Brodie440,Strategy,2011,502.0
76561198023305655,Casual,2007,2.0
76561198145073394,RPG,2012,37.0
76561198047195623,Strategy,2014,3514.0
76561198079469223,Early Access,2014,546.0
76561198055305294,Simulation,2014,423.0
76561198033465010,Action,2009,1789.0
76561198073280815,Adventure,2015,11525.0
76561198063988555,Strategy,2010,6609.0
piervdm,RPG,2010,741.0
bubblesnout,Adventure,2004,956.0
kamahl40,Indie,2006,545.0
Omgicfan9,Action,2012,5218.0
76561198066541306,Action,2015,1049.0
CjDoesIntros,Casual,2017,3878.0
TotesVidya,Casual,2013,549.0
Keemstarisgoat,RPG,2011,7031.0
some_sorta_pie,Indie,2017,3254.0
lalup,Sports,2015,1113.0
gameoversteam,Adventure,2017,631.0
76561198060459268,Indie,2017,634.0
SATANASMEUGRANDECHAPA,Adventure,2011,10650.0
Myther43,Indie,2012,1254.0
76561198073488846,Action,2015,11405.0
i_amsancho,Massively Multiplayer,2017,39090.0
76561198069066120,Adventure,2014,14.0
76561198082176975,Indie,2011,6655.0
mrscruff30,Casual,2016,4.0
DarkFrosts,Simulation,2014,1025.0
76561198045824137,Action,2000,13.0
76561197989039660,Simulation,2015,4697.0
76561198044591394,Strategy,2013,3064.0
76561198029595343,Casual,2015,386.0
space_jumper,Free to Play,2017,2583.0
kolreasdasdasd,Free to Play,2013,909.0
76561198040258534,Racing,2010,256.0
76561198087142327,RPG,2010,342.0
76561198046426184,Free to Play,2013,188.0
Empu_Tertular,Indie,2012,259.0
aestheticklown,Casual,2013,975.0
Vitaou,RPG,2015,332.0
axarator,Strategy,2006,572.0
76561198045786618,Strategy,2016,1092.0
76561198014872561,Action,2009,1285.0
76561198026713997,Strategy,2010,1352.0
Bestsonaau,Casual,2015,53.0
76561198057416678,Free to Play,2014,370.0
triumvirateofficial,Sports,2015,430.0
lyskal,RPG,2016,1974.0
Kurtz70,Casual,2010,1177.0
76561198053671421,Early Access,2013,7133.0
duqdl3303,Action,2013,2603.0
76561198107679895,Massively Multiplayer,2015,1.0
76561198072809720,Action,2012,6485.0
lilwoynintehhizzle,Adventure,2012,1462.0
mchan628,Free to Play,2017,7680.0
asteroidjoe,Simulation,2011,287.0
76561198061623492,Indie,2012,5467.0
spacepixl,Strategy,2011,95.0
imarockerbtw,Adventure,2009,36.0
UtterRarity,Strategy,2006,25.0
76561198065448616,Adventure,2012,1597.0
76561198102125100,Action,2013,1.0
76561198052789736,Simulation,2017,949.0
76561198024129921,Casual,2017,5.0
